1, 0, 29, 67
1, 1, 41, 29
2, 0, 21, 73
5, 0, 31, 68
6, 0, 39, 68
7, 0, 42, 69
8, 0, 28, 71
8, 1, 26, 5
9, 0, 20, 40
10, 0, 35, 83
10, 1, 56, 48
11, 0, 35, 83
11, 1, 56, 47
12, 0, 35, 83
12, 1, 56, 48
13, 0, 35, 83
13, 1, 56, 48
14, 0, 35, 83
14, 1, 57, 47
15, 0, 35, 83
15, 1, 57, 47
16, 0, 35, 83
16, 1, 57, 45
17, 0, 35, 83
17, 1, 57, 47
18, 0, 35, 83
18, 1, 56, 48
19, 0, 35, 83
19, 1, 57, 48
20, 0, 35, 83
20, 1, 56, 47
21, 0, 35, 83
21, 1, 56, 48
30, 0, 33, 82
30, 1, 38, 19
31, 0, 33, 82
31, 1, 38, 18
32, 0, 33, 82
32, 1, 39, 20
33, 0, 33, 82
33, 1, 39, 19
34, 0, 33, 82
34, 1, 38, 18
35, 0, 33, 82
35, 1, 39, 19
36, 0, 33, 82
36, 1, 38, 18
37, 0, 33, 82
37, 1, 40, 19
38, 0, 33, 82
38, 1, 39, 21
39, 0, 33, 82
39, 1, 39, 19
40, 0, 33, 82
40, 1, 38, 18
41, 0, 33, 82
41, 1, 38, 19
50, 0, 26, 41
51, 0, 26, 41
52, 0, 26, 40
53, 0, 26, 41
54, 0, 26, 41
65, 0, 17, 67
65, 1, 14, 47
66, 0, 20, 61
66, 1, 15, 45
67, 0, 21, 60
67, 1, 15, 44
68, 0, 17, 66
68, 1, 14, 48
70, 0, 18, 67
70, 1, 19, 2
71, 0, 20, 65
71, 1, 22, 5
72, 0, 20, 65
72, 1, 22, 4
73, 0, 18, 67
73, 1, 23, 3
75, 0, 19, 65
75, 1, 37, 27
76, 0, 21, 61
76, 1, 38, 26
77, 0, 21, 62
77, 1, 37, 27
78, 0, 21, 67
78, 1, 38, 30
119, 0, 20, 39
119, 1, 46, 14
125, 0, 20, 69
125, 1, 19, 46
126, 0, 21, 65
126, 1, 17, 47
127, 0, 21, 67
127, 1, 18, 50
128, 0, 20, 68
128, 1, 20, 47
130, 0, 24, 77
130, 1, 30, 2
131, 0, 29, 74
131, 1, 33, 4
132, 0, 27, 76
132, 1, 36, 3
133, 0, 27, 76
133, 1, 35, 3
135, 0, 29, 70
135, 1, 50, 26
136, 0, 32, 68
136, 1, 53, 26
137, 0, 31, 70
137, 1, 56, 26
138, 0, 30, 70
138, 1, 55, 26
200, 0, 23, 63
201, 0, 50, 57
202, 0, 70, 32
203, 0, 70, 13
