1, 0, 17, 92
2, 0, 15, 4
3, 0, 18, 4
4, 0, 9, 7
5, 0, 22, 11
6, 0, 24, 14
7, 0, 23, 15
8, 0, 21, 14
9, 0, 17, 10
10, 0, 27, 84
11, 0, 29, 84
12, 0, 27, 85
13, 0, 26, 85
14, 0, 24, 84
15, 0, 27, 84
16, 0, 28, 85
17, 0, 30, 84
18, 0, 30, 85
19, 0, 28, 84
20, 0, 26, 83
21, 0, 26, 84
30, 0, 15, 88
31, 0, 15, 89
32, 0, 15, 88
33, 0, 18, 87
34, 0, 15, 88
35, 0, 15, 89
36, 0, 15, 88
37, 0, 16, 84
38, 0, 15, 78
38, 1, 52, 12
39, 0, 15, 72
40, 0, 15, 66
41, 0, 15, 66
42, 0, 16, 66
43, 0, 15, 72
44, 0, 15, 78
45, 0, 15, 84
50, 0, 14, 87
51, 0, 14, 84
52, 0, 15, 83
53, 0, 17, 84
54, 0, 17, 75
55, 0, 19, 75
56, 0, 20, 68
57, 0, 19, 71
58, 0, 19, 73
59, 0, 18, 72
60, 0, 18, 69
61, 0, 18, 59
62, 0, 18, 63
63, 0, 20, 51
64, 0, 20, 22
65, 0, 20, 27
70, 0, 14, 91
71, 0, 18, 96
72, 0, 36, 94
73, 0, 56, 97
74, 0, 82, 85
75, 0, 96, 77
76, 0, 109, 45
77, 0, 108, 36
78, 0, 109, 25
79, 0, 95, 26
80, 0, 97, 16
81, 0, 99, 16
82, 0, 98, 16
90, 0, 17, 86
91, 0, 19, 86
92, 0, 24, 86
93, 0, 51, 83
94, 0, 59, 80
95, 0, 66, 80
96, 0, 68, 80
97, 0, 50, 79
98, 0, 51, 78
99, 0, 66, 70
100, 0, 93, 50
101, 0, 105, 34
102, 0, 108, 29
103, 0, 108, 22
104, 0, 108, 18
105, 0, 108, 18
106, 0, 108, 18
107, 0, 108, 18
108, 0, 108, 18
110, 0, 14, 11
111, 0, 15, 20
112, 0, 17, 35
113, 0, 17, 50
114, 0, 17, 63
115, 0, 17, 83
116, 0, 19, 92
120, 0, 22, 15
121, 0, 22, 15
122, 0, 22, 15
123, 0, 22, 15
124, 0, 22, 15
125, 0, 22, 15
126, 0, 22, 15
127, 0, 22, 15
128, 0, 22, 15
129, 0, 22, 15
130, 0, 19, 46
131, 0, 20, 45
132, 0, 21, 45
133, 0, 19, 43
134, 0, 18, 43
135, 0, 13, 52
136, 0, 15, 52
137, 0, 15, 50
138, 0, 17, 50
139, 0, 19, 46
140, 0, 6, 21
141, 0, 6, 21
142, 0, 8, 15
143, 0, 8, 15
144, 0, 4, 15
145, 0, 4, 16
146, 0, 10, 23
147, 0, 10, 20
148, 0, 6, 21
149, 0, 6, 21
